run,n,cls,acc,med_conc,frac_clean,n_freq,instab
d47_seed0,47,A,1.0,0.9547853857965733,0.951171875,5,0.007007758281153286
d47_seed1,47,A,1.0,0.990505397215966,0.990234375,5,0.004646203579347705
d47_seed3,47,A,1.0,0.9831457484102948,0.9619140625,6,0.005507901752531881
d47_seed4,47,B,1.0,0.9860827734843062,1.0,6,0.008455069013802812
d47_seed6,47,I,0.9946808510638299,0.9959308386643515,1.0,3,0.0007020071836433984
d47_seed7,47,A,1.0,0.9731960923217453,0.93994140625,6,0.009307391657447293
d47_seed8,47,A,0.9989361702127659,0.9743751192063517,0.94384765625,3,0.011318518327598047
d47_seed9,47,A,1.0,0.9510881594537174,0.9462890625,5,0.010560310350157604
d51_seed0,51,B,0.9950980392156863,0.9798547749338078,0.99951171875,5,0.0027619683165503585
d51_seed2,51,A,1.0,0.9551389540123825,0.93115234375,7,0.0024198754102809027
d53_seed1,53,A,1.0,0.9902398029441459,0.9599609375,5,0.005349787467548611
d53_seed2,53,B,1.0,0.9692009444898055,1.0,4,0.0005143341201659103
d55_seed0,55,B,1.0,0.9830724333764922,0.9814453125,8,0.003652555153378081
d55_seed2,55,B,0.9936363636363638,0.9876332850319756,1.0,6,0.0017982178011948604
d59_30pct_seed0,59,A,1.0,0.9458966936877826,0.9248046875,7,0.004965271772318642
d59_30pct_seed1,59,A,1.0,0.9894693155747034,1.0,3,0.005889554017392953
d59_30pct_seed3,59,A,1.0,0.994543769636958,0.96337890625,7,0.00675163640940901
d59_30pct_seed4_resumed,59,A,0.9974576271186442,0.9773934913042679,0.96875,7,0.005222500572323382
d61_seed0,61,B,1.0,0.9834598430234835,0.9384765625,7,0.007637213455057608
d61_seed1,61,B,1.0,0.8670729021478749,0.857421875,7,0.009838814838899194
d61_seed2,61,A,1.0,0.9798608900594248,0.98974609375,3,0.004782857430613548
d61_seed4,61,I,1.0,0.9936657298158251,1.0,3,7.725495997841435e-05
d61_seed6,61,B,1.0,0.9776710365496983,0.9775390625,7,0.0021875378850950275
d61_seed8,61,A,1.0,0.984464001444121,0.9716796875,7,0.006194904833606074
d61_seed9,61,B,1.0,0.9963556361104049,0.9990234375,5,0.0012835946602443207
d63_seed0,63,B,1.0,0.9935797708649102,0.998046875,5,0.00012879205070376353
d63_seed1,63,B,1.0,0.9932655249949276,0.998046875,4,0.00010572642623276329
d63_seed2,63,A,1.0,0.9988786466421415,0.9921875,3,0.00013263422870338226
d63_seed3,63,B,1.0,0.9723498244382435,0.9794921875,9,0.009120893028359781
d63_seed4,63,B,1.0,0.9555014297599019,0.9306640625,5,0.005229004840277773
d63_seed5,63,B,1.0,0.9915487541565318,0.99853515625,9,0.0022584835704422537
d63_seed6,63,B,1.0,0.9472134919587114,0.95654296875,10,0.003397829990997054
d63_seed7,63,B,1.0,0.9928725180156086,1.0,7,0.0018320114972469983
d63_seed8,63,A,1.0,0.9972196276336774,0.99267578125,4,0.0018548488043778843
d63_seed9,63,B,1.0,0.9873393712319425,0.98779296875,5,0.0036739144596793743
