n,seed,dc_frac,mean_cos,med_conc
59,26,0.017696,0.132226,0.130737
59,27,0.016236,0.127707,0.129955
59,28,0.015426,0.124801,0.129306
59,29,0.016184,0.127438,0.131043
61,0,0.016051,0.126220,0.127359
61,1,0.017700,0.132386,0.127374
61,2,0.015442,0.124191,0.128530
61,3,0.016295,0.126978,0.127885
61,4,0.014750,0.121942,0.127623
61,5,0.016485,0.127202,0.127506
61,6,0.015167,0.121846,0.124950
61,7,0.015560,0.124417,0.128306
61,8,0.014577,0.120237,0.126635
61,9,0.015040,0.122992,0.127269
61,10,0.016592,0.128049,0.125600
61,11,0.018508,0.136848,0.127890
61,12,0.016198,0.125636,0.124910
61,13,0.015361,0.124001,0.125896
61,14,0.019778,0.140055,0.125580
61,15,0.014021,0.118068,0.125288
61,16,0.015763,0.125183,0.126817
61,17,0.016125,0.126597,0.126470
61,18,0.014931,0.121855,0.128072
61,19,0.017394,0.133079,0.129081
61,20,0.021880,0.148248,0.126657
61,21,0.015370,0.124909,0.128030
61,22,0.015600,0.124011,0.126039
61,23,0.018994,0.137856,0.127571
61,24,0.020819,0.144275,0.127356
61,25,0.016516,0.128210,0.126848
61,26,0.015586,0.125026,0.130032
61,27,0.015753,0.124595,0.125884
61,28,0.015819,0.126068,0.125719
61,29,0.016376,0.127418,0.125305
63,0,0.016741,0.131109,0.122874
63,1,0.016290,0.125684,0.121679
63,2,0.016172,0.126782,0.122324
63,3,0.013043,0.113857,0.124926
63,4,0.017923,0.133250,0.125907
63,5,0.015935,0.126075,0.122998
63,6,0.014198,0.118370,0.123830
63,7,0.014369,0.118642,0.123285
63,8,0.015498,0.124803,0.123913
63,9,0.013842,0.117728,0.124547
63,10,0.014818,0.121938,0.123346
63,11,0.014006,0.118566,0.123776
63,12,0.013795,0.116690,0.123930
63,13,0.016636,0.128053,0.124336
63,14,0.015526,0.124087,0.121742
63,15,0.013224,0.113944,0.124387
63,16,0.013078,0.114124,0.124484
63,17,0.016600,0.128572,0.124327
63,18,0.017762,0.132664,0.124727
63,19,0.015607,0.124610,0.121959
63,20,0.017134,0.131275,0.122826
63,21,0.015759,0.125812,0.122696
63,22,0.013830,0.117698,0.125044
63,23,0.016816,0.129649,0.124336
63,24,0.016478,0.128313,0.123974
63,25,0.017253,0.130410,0.123116
63,26,0.017717,0.133036,0.123466
63,27,0.017304,0.132744,0.123056
63,28,0.013972,0.118126,0.123873
63,29,0.016011,0.126879,0.124258
