run,n,epoch,val,dc_frac,auc_t,m_dc,m_perp
d47_seed0,47,1000,0.004203039120594891,0.02484960476164913,0.554600767791003,0.030494874465413623,0.5305363214503369
d47_seed0,47,2000,0.004849660523763337,0.027502648107914206,0.5708593223224322,0.03984873902678935,0.6585016574925435
d47_seed0,47,3000,0.006466214031684449,0.030428781169494396,0.5927418548326518,0.05080890200923117,0.7002446755146227
d47_seed0,47,4000,0.0072744907856450046,0.033483303038567655,0.6259425707975399,0.06400147831586732,0.712888127571173
d47_seed0,47,5000,0.008082767539605561,0.03788010599744943,0.6501643901253027,0.07957955052192696,0.8184802472241329
d47_seed0,47,6000,0.01066925315227934,0.04255841945755746,0.7108853953919205,0.12045716184637255,0.8829546355016668
d47_seed0,47,7000,0.012447462010992564,0.050432054675208296,0.7982572913254373,0.1973783928780729,0.9325742756307912
d47_seed0,47,8000,0.012447462010992564,0.06296998993200133,0.9042781435583384,0.3553947420967735,0.9340584510349893
d47_seed0,47,9000,0.017782088587132233,0.0699023607849564,0.9707066886357242,0.5520728441281874,0.9800452153954451
d47_seed0,47,10000,0.019398642095053348,0.06837320045953382,0.9891502961778018,0.6310706049863607,0.935521317116789
d47_seed0,47,11000,0.02392499191723246,0.07448725438554486,0.9987919092589621,0.8025340052692601,0.9842715962604716
d47_seed0,47,13000,0.029906239896540576,0.07373291550933765,0.9999035483109621,0.8557475358617576,1.0878416605256058
d47_seed0,47,15000,0.03136113805366958,0.07470666412368274,0.9999479960939288,0.8546369397980715,1.2057444044516727
d47_seed0,47,17000,0.0404138376980278,0.07420606886778967,0.9999626638623079,0.8702356112555026,1.293579208315847
d47_seed0,47,19000,0.04558680892337536,0.07361151991381112,0.9999528853500552,0.8707479688393123,1.3030501396810483
d47_seed0,47,21000,0.05318461041060459,0.07642780132597311,0.9999844432759616,0.8672196643451234,1.4634451516266445
d47_seed0,47,23000,0.05771096023278371,0.0739449800184053,0.9999937773103846,0.864951484946186,1.5286469313123374
d47_seed0,47,25000,0.0633688975105076,0.07295101744842467,0.9999977776108516,0.8609174752729502,1.5839014264520908
d47_seed0,47,27000,0.07339152925961849,0.07297574903118699,0.9999964441773627,0.8556704701299718,1.6407122448194713
d47_seed0,47,29000,0.08309085030714516,0.07362445265474696,0.9999968886551923,0.8538612686311391,1.6936798398365729
d47_seed0,47,31000,0.09036534109279017,0.07380731973900691,0.9999968886551923,0.8487948221326702,1.7463745769268493
d47_seed0,47,33000,0.09763983187843518,0.07413781541536764,0.9999982220886813,0.8418143437171606,1.793052155640237
d47_seed0,47,35000,0.1036210798577433,0.07511119606809509,0.999998666566511,0.8386375100344579,1.8380161143132667
d47_seed0,47,37000,0.11283543485289363,0.0755189527300063,0.999997333133022,0.8324918964280839,1.883382121702344
d47_seed0,47,39000,0.13029421273844163,0.07693058680960135,0.9999982220886813,0.8345788092025069,1.91707189537977
d47_seed0,47,41000,0.14904623343032655,0.07860402175755339,0.9999813319311539,0.8312396750078535,1.9463893133434613
d47_seed0,47,43000,0.17394115745231167,0.08032668888651691,0.9999844432759616,0.8260895035855534,1.99047382348714
