run,n,cls,target_val,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d47_seed4,47,B,0.7,29000,surgical,0.787121,0.787913,0.971367,0.003721,0.865497,0.130781,0.008828,0.002490,0.025641
d47_seed4,47,B,0.7,29000,noise_only,0.784480,0.784895,0.976913,0.001924,0.892869,0.105207,0.003395,0.002603,0.000000
d47_seed4,47,B,0.9,31000,base,0.925192,0.925306,0.992757,0.001513,0.903177,0.095310,,,
d47_seed4,47,B,0.9,31000,surgical,0.921684,0.922024,0.987551,0.004335,0.841040,0.154624,0.005545,0.000340,0.040816
d47_seed4,47,B,0.9,31000,noise_only,0.916478,0.916629,0.992078,0.001793,0.905182,0.093025,0.001660,0.000981,0.017544
d47_seed6,47,I,0.35,20000,base,0.514486,0.526483,0.780783,0.024709,0.548485,0.426807,,,
d47_seed6,47,I,0.35,20000,surgical,0.518108,0.530783,0.780557,0.026303,0.544622,0.429075,0.024445,0.024219,0.046296
d47_seed6,47,I,0.35,20000,noise_only,0.513845,0.525653,0.779538,0.024288,0.546520,0.429192,0.012487,0.011242,0.033216
d47_seed6,47,I,0.5,21000,base,0.639203,0.647804,0.845971,0.023839,0.573087,0.403074,,,
d47_seed6,47,I,0.5,21000,surgical,0.636600,0.645654,0.836804,0.024914,0.550919,0.424167,0.027048,0.017881,0.037657
d47_seed6,47,I,0.5,21000,noise_only,0.635393,0.643504,0.846046,0.022251,0.577754,0.399996,0.011695,0.011770,0.025656
d47_seed6,47,I,0.7,22000,base,0.791308,0.794477,0.921797,0.015184,0.625271,0.359544,,,
d47_seed6,47,I,0.7,22000,surgical,0.783386,0.788026,0.907198,0.021421,0.571578,0.407001,0.024672,0.010072,0.064220
d47_seed6,47,I,0.7,22000,noise_only,0.782783,0.785876,0.918364,0.014262,0.624107,0.361631,0.009997,0.006564,0.045748
d47_seed6,47,I,0.9,24000,base,0.950091,0.950204,0.988569,0.002268,0.770975,0.226757,,,
d47_seed6,47,I,0.9,24000,surgical,0.940471,0.941376,0.974762,0.015209,0.576046,0.408745,0.015165,0.001358,0.052239
d47_seed6,47,I,0.9,24000,noise_only,0.940131,0.940282,0.986268,0.002522,0.770574,0.226904,0.004301,0.001999,0.007407
d47_seed7,47,A,0.35,34000,base,0.542100,0.542100,0.979289,0.000000,0.954770,0.045230,,,
d47_seed7,47,A,0.35,34000,surgical,0.402897,0.407764,0.600045,0.008150,0.330174,0.661676,0.379244,0.000000,0.017010
d47_seed7,47,A,0.35,34000,noise_only,0.417497,0.417798,0.961861,0.000518,0.934524,0.064959,0.025124,0.007696,0.006183
d47_seed7,47,A,0.5,37000,base,0.646560,0.646786,0.982458,0.000640,0.950368,0.048991,,,
d47_seed7,47,A,0.5,37000,surgical,0.474762,0.479516,0.633092,0.009050,0.301444,0.689507,0.349366,0.000000,0.015549
d47_seed7,47,A,0.5,37000,noise_only,0.491097,0.491248,0.965143,0.000296,0.931465,0.068239,0.025351,0.008035,0.001642
d47_seed7,47,A,0.9,41000,base,0.918742,0.918742,0.996152,0.000000,0.952646,0.047354,,,
d47_seed7,47,A,0.9,41000,surgical,0.656179,0.661159,0.690697,0.014483,0.100395,0.885122,0.305455,0.000000,0.015191
d47_seed7,47,A,0.9,41000,noise_only,0.708579,0.708956,0.971971,0.001296,0.903618,0.095086,0.025804,0.001622,0.014671
d47_seed8,47,A,0.35,23000,base,0.547420,0.547646,0.982911,0.000500,0.962241,0.037259,,,
d47_seed8,47,A,0.35,23000,surgical,0.442621,0.444319,0.651879,0.003046,0.375431,0.621523,0.331032,0.000000,0.003761
d47_seed8,47,A,0.35,23000,noise_only,0.452995,0.453184,0.969405,0.000346,0.944069,0.055584,0.019881,0.006375,0.003454
d47_seed8,47,A,0.5,25000,base,0.646107,0.646107,0.988909,0.000000,0.968660,0.031340,,,
d47_seed8,47,A,0.5,25000,surgical,0.517542,0.519126,0.680851,0.003284,0.338494,0.658222,0.308058,0.000000,0.006613
d47_seed8,47,A,0.5,25000,noise_only,0.526709,0.526973,0.972159,0.000561,0.941142,0.058297,0.020560,0.003810,0.014505
d47_seed8,47,A,0.7,27000,base,0.769692,0.769692,0.993323,0.000000,0.971007,0.028993,,,
d47_seed8,47,A,0.7,27000,surgical,0.626981,0.629131,0.731100,0.005765,0.279126,0.715109,0.262223,0.000000,0.004316
d47_seed8,47,A,0.7,27000,noise_only,0.626528,0.626641,0.978346,0.000306,0.941847,0.057847,0.017768,0.002792,0.007476
d47_seed8,47,A,0.9,29000,base,0.935718,0.935718,0.997171,0.000000,0.955986,0.044014,,,
d47_seed8,47,A,0.9,29000,surgical,0.789271,0.790403,0.815414,0.005371,0.124060,0.870569,0.181756,0.000000,0.008095
d47_seed8,47,A,0.9,29000,noise_only,0.758714,0.758790,0.984458,0.000320,0.935408,0.064272,0.013656,0.000943,0.004505
d47_seed9,47,A,0.35,20000,base,0.559303,0.559416,0.986872,0.000257,0.970211,0.029533,,,
d47_seed9,47,A,0.35,20000,surgical,0.431983,0.438321,0.623699,0.011158,0.337517,0.651325,0.363173,0.000000,0.015581
d47_seed9,47,A,0.35,20000,noise_only,0.459710,0.460088,0.968764,0.000699,0.942198,0.057104,0.023427,0.005319,0.021684
d47_seed9,47,A,0.5,21000,base,0.647578,0.647918,0.991286,0.000963,0.975273,0.023764,,,
d47_seed9,47,A,0.5,21000,surgical,0.492417,0.498302,0.649842,0.011594,0.310145,0.678261,0.341444,0.000000,0.018893
d47_seed9,47,A,0.5,21000,noise_only,0.518862,0.519390,0.971556,0.001098,0.940890,0.058012,0.023351,0.003622,0.019790
d47_seed9,47,A,0.7,22000,base,0.780896,0.781010,0.995699,0.000517,0.980372,0.019112,,,
d47_seed9,47,A,0.7,22000,surgical,0.611136,0.616795,0.705410,0.014552,0.242433,0.743015,0.290290,0.000000,0.015984
d47_seed9,47,A,0.7,22000,noise_only,0.613551,0.614230,0.974989,0.001756,0.935273,0.062971,0.022522,0.001811,0.019431
d47_seed9,47,A,0.9,23000,base,0.919534,0.919534,0.999095,0.000000,0.988748,0.011252,,,
d47_seed9,47,A,0.9,23000,surgical,0.767655,0.771050,0.804210,0.014613,0.157331,0.828057,0.194885,0.000000,0.016260
d47_seed9,47,A,0.9,23000,noise_only,0.738268,0.738456,0.981968,0.000721,0.931128,0.068150,0.017580,0.000453,0.012219
d61_seed0,61,B,0.35,13000,base,0.552002,0.553212,0.935703,0.002699,0.856479,0.140822,,,
d61_seed0,61,B,0.35,13000,surgical,0.546829,0.548038,0.921526,0.002669,0.826835,0.170497,0.028017,0.013840,0.011990
d61_seed0,61,B,0.35,13000,noise_only,0.543716,0.544925,0.933866,0.002650,0.855059,0.142290,0.011153,0.009316,0.015820
d61_seed0,61,B,0.5,14000,base,0.642502,0.643107,0.969632,0.001691,0.915054,0.083255,,,
d61_seed0,61,B,0.5,14000,surgical,0.638269,0.639008,0.958546,0.002043,0.885401,0.112556,0.016998,0.005912,0.007905
d61_seed0,61,B,0.5,14000,noise_only,0.636433,0.637060,0.969296,0.001726,0.915543,0.082731,0.005464,0.005129,0.007576
d61_seed0,61,B,0.7,16000,base,0.806168,0.806235,0.992811,0.000347,0.962912,0.036742,,,
d61_seed0,61,B,0.7,16000,surgical,0.804555,0.804622,0.990258,0.000344,0.950155,0.049502,0.003359,0.000806,0.020000
d61_seed0,61,B,0.7,16000,noise_only,0.802719,0.802786,0.992363,0.000341,0.961285,0.038374,0.001053,0.000605,0.041667
d61_seed0,61,B,0.9,17000,base,0.932478,0.932478,0.998253,0.000000,0.974129,0.025871,,,
d61_seed0,61,B,0.9,17000,surgical,0.932008,0.932008,0.997783,0.000000,0.967391,0.032609,0.000941,0.000470,0.000000
d61_seed0,61,B,0.9,17000,noise_only,0.931358,0.931358,0.998231,0.000000,0.974229,0.025771,0.000269,0.000246,0.000000
d61_seed1,61,B,0.35,14000,base,0.511825,0.513773,0.853400,0.003991,0.699697,0.296312,,,
d61_seed1,61,B,0.35,14000,surgical,0.510817,0.512564,0.849839,0.003571,0.693037,0.303392,0.016393,0.012833,0.004098
d61_seed1,61,B,0.35,14000,noise_only,0.510772,0.512743,0.852795,0.004029,0.699112,0.296859,0.007413,0.006808,0.025572
d61_seed2,61,A,0.35,17000,base,0.566044,0.566044,0.985286,0.000000,0.966094,0.033906,,,
d61_seed2,61,A,0.35,17000,surgical,0.430395,0.431806,0.628594,0.002477,0.347959,0.649564,0.356692,0.000000,0.006216
d61_seed2,61,A,0.35,17000,noise_only,0.435501,0.435591,0.972028,0.000159,0.950462,0.049379,0.019462,0.006204,0.006647
d61_seed2,61,A,0.5,18000,base,0.674214,0.674214,0.985219,0.000000,0.954630,0.045370,,,
d61_seed2,61,A,0.5,18000,surgical,0.507055,0.509137,0.647339,0.004225,0.284585,0.711190,0.337880,0.000000,0.005965
d61_seed2,61,A,0.5,18000,noise_only,0.508667,0.508801,0.970483,0.000274,0.939926,0.059800,0.021007,0.006271,0.009340
d61_seed2,61,A,0.7,19000,base,0.789035,0.789035,0.987705,0.000000,0.941720,0.058280,,,
d61_seed2,61,A,0.7,19000,surgical,0.587409,0.590030,0.673609,0.006351,0.208924,0.784726,0.314096,0.000000,0.007059
d61_seed2,61,A,0.7,19000,noise_only,0.590097,0.590343,0.968915,0.000601,0.924132,0.075267,0.024008,0.005218,0.012934
d61_seed4,61,I,0.35,19000,base,0.536482,0.536684,0.798441,0.000435,0.565154,0.434411,,,
d61_seed4,61,I,0.35,19000,surgical,0.536617,0.536818,0.796426,0.000435,0.560679,0.438886,0.022642,0.020626,0.002967
d61_seed4,61,I,0.35,19000,noise_only,0.534377,0.534780,0.798643,0.000866,0.567553,0.431581,0.011131,0.011332,0.007933
d61_seed4,61,I,0.5,20000,base,0.635985,0.636052,0.841911,0.000185,0.565707,0.434109,,,
d61_seed4,61,I,0.5,20000,surgical,0.634440,0.634641,0.833042,0.000551,0.543282,0.456166,0.030435,0.021567,0.004415
d61_seed4,61,I,0.5,20000,noise_only,0.631170,0.631439,0.839738,0.000728,0.565487,0.433785,0.013684,0.011511,0.009797
d61_seed6,61,B,0.5,14000,base,0.657820,0.658694,0.958210,0.002553,0.877872,0.119576,,,
d61_seed6,61,B,0.5,14000,surgical,0.656410,0.657081,0.955859,0.001955,0.871529,0.126515,0.005912,0.003561,0.011364
d61_seed6,61,B,0.5,14000,noise_only,0.656477,0.657305,0.958009,0.002411,0.877760,0.119829,0.002352,0.002150,0.018296
d61_seed6,61,B,0.9,15000,base,0.898885,0.899086,0.993416,0.001993,0.934884,0.063123,,,
d61_seed6,61,B,0.9,15000,surgical,0.893241,0.893443,0.984547,0.001888,0.855255,0.142857,0.009540,0.000672,0.014085
d61_seed6,61,B,0.9,15000,noise_only,0.888986,0.889187,0.991938,0.001816,0.927376,0.070808,0.002665,0.001187,0.008772
d61_seed8,61,A,0.35,14000,base,0.532653,0.532653,0.985353,0.000000,0.968660,0.031340,,,
d61_seed8,61,A,0.35,14000,surgical,0.425558,0.428312,0.644383,0.004795,0.380936,0.614269,0.340970,0.000000,0.010640
d61_seed8,61,A,0.35,14000,noise_only,0.435837,0.435904,0.971311,0.000119,0.949177,0.050704,0.019820,0.005778,0.010561
d61_seed8,61,A,0.7,17000,base,0.820277,0.820277,0.992744,0.000000,0.959626,0.040374,,,
d61_seed8,61,A,0.7,17000,surgical,0.686778,0.686845,0.773314,0.000215,0.276276,0.723509,0.219430,0.000000,0.003062
d61_seed8,61,A,0.7,17000,noise_only,0.677887,0.677887,0.978769,0.000000,0.934077,0.065923,0.016998,0.003023,0.001253
d61_seed8,61,A,0.9,18000,base,0.925759,0.925759,0.997648,0.000000,0.968326,0.031674,,,
d61_seed8,61,A,0.9,18000,surgical,0.814432,0.814499,0.851720,0.000362,0.200941,0.798697,0.145929,0.000000,0.000460
d61_seed8,61,A,0.9,18000,noise_only,0.781219,0.781219,0.985913,0.000000,0.935421,0.064579,0.012900,0.001165,0.000000
d61_seed9,61,B,0.35,19000,base,0.529495,0.530771,0.855146,0.002713,0.692132,0.305155,,,
d61_seed9,61,B,0.35,19000,surgical,0.530637,0.531913,0.853198,0.002720,0.687232,0.310049,0.013101,0.011153,0.010256
d61_seed9,61,B,0.35,19000,noise_only,0.528285,0.529450,0.854139,0.002469,0.690784,0.306747,0.006383,0.005375,0.013956
d61_seed9,61,B,0.5,20000,base,0.657619,0.658492,0.931268,0.002551,0.799254,0.198195,,,
d61_seed9,61,B,0.5,20000,surgical,0.655066,0.655872,0.926901,0.002337,0.788079,0.209583,0.011220,0.006853,0.000000
d61_seed9,61,B,0.5,20000,noise_only,0.656365,0.657171,0.930193,0.002346,0.796859,0.200795,0.004882,0.003807,0.000000
d61_seed9,61,B,0.7,22000,base,0.796560,0.796829,0.986294,0.001321,0.932629,0.066050,,,
d61_seed9,61,B,0.7,22000,surgical,0.795418,0.795754,0.984682,0.001642,0.925123,0.073235,0.003091,0.001478,0.000000
d61_seed9,61,B,0.7,22000,noise_only,0.794724,0.794992,0.986048,0.001309,0.932032,0.066659,0.001500,0.001254,0.000000
d61_seed9,61,B,0.9,24000,base,0.918503,0.918637,0.997313,0.001649,0.967024,0.031327,,,
d61_seed9,61,B,0.9,24000,surgical,0.918436,0.918570,0.997044,0.001647,0.963756,0.034596,0.000605,0.000336,0.000000
d61_seed9,61,B,0.9,24000,noise_only,0.918078,0.918212,0.997313,0.001640,0.967196,0.031164,0.000224,0.000224,0.000000
d63_seed0,63,B,0.35,17000,base,0.537541,0.539934,0.967183,0.005176,0.929038,0.065786,,,
d63_seed0,63,B,0.35,17000,surgical,0.536344,0.538801,0.962396,0.005298,0.918897,0.075805,0.011086,0.006299,0.079545
d63_seed0,63,B,0.35,17000,noise_only,0.533363,0.535630,0.966616,0.004859,0.928459,0.066682,0.004850,0.004283,0.103006
d63_seed1,63,B,0.35,10000,base,0.577664,0.578420,0.961388,0.001790,0.908576,0.089635,,,
d63_seed1,63,B,0.35,10000,surgical,0.576027,0.576720,0.956349,0.001634,0.897044,0.101322,0.014676,0.009637,0.008584
d63_seed1,63,B,0.35,10000,noise_only,0.575019,0.575712,0.959919,0.001629,0.905679,0.092692,0.006761,0.005291,0.012296
d63_seed1,63,B,0.9,11000,base,0.956727,0.956727,0.998488,0.000000,0.965066,0.034934,,,
d63_seed1,63,B,0.9,11000,surgical,0.955845,0.955845,0.997417,0.000000,0.941512,0.058488,0.001512,0.000441,0.000000
d63_seed1,63,B,0.9,11000,noise_only,0.950491,0.950491,0.998215,0.000000,0.963869,0.036131,0.000441,0.000168,0.000000
d63_seed2,63,A,0.9,18000,base,0.903439,0.903439,0.997543,0.000000,0.974560,0.025440,,,
d63_seed2,63,A,0.9,18000,surgical,0.739229,0.739544,0.785021,0.001208,0.175604,0.823188,0.212522,0.000000,0.001186
d63_seed2,63,A,0.9,18000,noise_only,0.720501,0.720501,0.981083,0.000000,0.932284,0.067716,0.017469,0.001008,0.001217
d63_seed3,63,B,0.35,17000,base,0.558138,0.560784,0.853616,0.005987,0.668710,0.325303,,,
d63_seed3,63,B,0.35,17000,surgical,0.558768,0.561350,0.853679,0.005853,0.668380,0.325767,0.012850,0.012913,0.014706
d63_seed3,63,B,0.35,17000,noise_only,0.557109,0.559776,0.852314,0.006021,0.666540,0.327439,0.007076,0.005774,0.015002
d63_seed3,63,B,0.9,31000,base,0.903313,0.903439,0.955467,0.001303,0.539414,0.459283,,,
d63_seed3,63,B,0.9,31000,surgical,0.902494,0.902620,0.952003,0.001292,0.507752,0.490956,0.016566,0.013102,0.011407
d63_seed3,63,B,0.9,31000,noise_only,0.889981,0.890254,0.950491,0.002508,0.549437,0.448055,0.010813,0.005837,0.009637
d63_seed4,63,B,0.7,11000,base,0.823570,0.825586,0.985009,0.011424,0.915030,0.073545,,,
d63_seed4,63,B,0.7,11000,surgical,0.823255,0.825082,0.984757,0.010335,0.913756,0.075909,0.002834,0.002583,0.066667
d63_seed4,63,B,0.7,11000,noise_only,0.822205,0.824179,0.984778,0.011103,0.914378,0.074519,0.001302,0.001071,0.048703
d63_seed5,63,B,0.5,9000,base,0.631015,0.631519,0.946082,0.001366,0.853875,0.144759,,,
d63_seed5,63,B,0.5,9000,surgical,0.630448,0.631078,0.943626,0.001704,0.847452,0.150844,0.008440,0.005984,0.014925
d63_seed5,63,B,0.5,9000,noise_only,0.628538,0.629105,0.946082,0.001526,0.854850,0.143624,0.003443,0.003443,0.024146
d63_seed5,63,B,0.7,10000,base,0.771038,0.771290,0.983119,0.001100,0.926272,0.072627,,,
d63_seed5,63,B,0.7,10000,surgical,0.768267,0.768582,0.976002,0.001359,0.896439,0.102202,0.012220,0.005102,0.020619
d63_seed5,63,B,0.7,10000,noise_only,0.760204,0.760624,0.981356,0.001753,0.922253,0.075994,0.004514,0.002750,0.037730
d63_seed5,63,B,0.9,11000,base,0.900353,0.900542,0.993260,0.001896,0.932364,0.065740,,,
d63_seed5,63,B,0.9,11000,surgical,0.899660,0.899849,0.992063,0.001883,0.920904,0.077213,0.002331,0.001134,0.000000
d63_seed5,63,B,0.9,11000,noise_only,0.897686,0.897917,0.993092,0.002257,0.932483,0.065260,0.000882,0.000714,0.000000
d63_seed6,63,B,0.5,17000,base,0.666541,0.667360,0.840136,0.002456,0.520589,0.476955,,,
d63_seed6,63,B,0.5,17000,surgical,0.664399,0.665344,0.835223,0.002815,0.509009,0.488176,0.022676,0.017763,0.005556
d63_seed6,63,B,0.5,17000,noise_only,0.661964,0.662719,0.838141,0.002235,0.521187,0.476578,0.011464,0.009469,0.001709
d63_seed7,63,B,0.35,15000,base,0.516818,0.520975,0.808705,0.008604,0.604093,0.387303,,,
d63_seed7,63,B,0.35,15000,surgical,0.516692,0.521038,0.805933,0.008993,0.598462,0.392545,0.028030,0.025258,0.029213
d63_seed7,63,B,0.35,15000,noise_only,0.515264,0.519400,0.808810,0.008533,0.605579,0.385887,0.012283,0.012388,0.020409
d63_seed8,63,A,0.35,17000,base,0.556752,0.556815,0.988284,0.000142,0.973568,0.026290,,,
d63_seed8,63,A,0.35,17000,surgical,0.444130,0.447090,0.670005,0.005326,0.406346,0.588329,0.318279,0.000000,0.008510
d63_seed8,63,A,0.35,17000,noise_only,0.459331,0.459751,0.972117,0.000776,0.948428,0.050796,0.020240,0.004073,0.005446
d63_seed8,63,A,0.5,18000,base,0.622764,0.622953,0.987276,0.000501,0.966271,0.033228,,,
d63_seed8,63,A,0.5,18000,surgical,0.491560,0.494646,0.671013,0.006070,0.352948,0.640981,0.316264,0.000000,0.007967
d63_seed8,63,A,0.5,18000,noise_only,0.502457,0.502855,0.969241,0.000802,0.938164,0.061034,0.022151,0.004115,0.006032
d63_seed8,63,A,0.9,21000,base,0.953452,0.953578,0.997354,0.002706,0.943166,0.054127,,,
d63_seed8,63,A,0.9,21000,surgical,0.745969,0.748866,0.765369,0.011406,0.076370,0.912224,0.231985,0.000000,0.010318
d63_seed8,63,A,0.9,21000,noise_only,0.731377,0.731565,0.974427,0.000700,0.904732,0.094567,0.023894,0.000966,0.005449
